"Air_Force_Blue_Raf",
"Café_Au_Lait",
"Café_Noir",
"Cal_Poly_Green",
"Cambridge_Blue",
"Camel",
"Cameo_Pink",
"Camouflage_Green",
"Canary_Yellow",
"Candy_Apple_Red",
"Candy_Pink",
"Capri",
"Caput_Mortuum",
"Cardinal",
"Caribbean_Green",
"Carmine",
"Carmine_M&P",
"Carmine_Pink",
"Carmine_Red",
"Carnation_Pink",
"Carnelian",
"Carolina_Blue",
"Carrot_Orange",
"Catalina_Blue",
"Ceil",
"Celadon",
"Celadon_Blue",
"Celadon_Green",
"Celeste_Colour",
"Celestial_Blue",
"Cerise",
"Cerise_Pink",
"Cerulean",
"Cerulean_Blue",
"Cerulean_Frost",
"Cg_Blue",
"Cg_Red",
"Chamoisee",
"Champagne",
"Charcoal",
"Charm_Pink",
"Chartreuse_Traditional",
"Chartreuse_Web",
"Cherry",
"Cherry_Blossom_Pink",
"Chestnut",
"China_Pink",
"China_Rose",
"Chinese_Red",
"Chocolate_Traditional",
"Chocolate_Web",
"Chrome_Yellow",
"Cinereous",
"Cinnabar",
"Cinnamon",
"Citrine",
"Classic_Rose",
"Cobalt",
"Cocoa_Brown",
"Coffee",
"Columbia_Blue",
"Congo_Pink",
"Cool_Black",
"Cool_Grey",
"Copper",
"Copper_Crayola",
"Copper_Penny",
"Copper_Red",
"Copper_Rose",
"Coquelicot",
"Coral",
"Coral_Pink",
"Coral_Red",
"Cordovan",
"Corn",
"Cornell_Red",
"Cornflower_Blue",
"Cornsilk",
"Cosmic_Latte",
"Cotton_Candy",
"Cream",
"Crimson",
"Crimson_Glory",
"Cyan",
"Cyan_Process",
"Daffodil",
"Dandelion",
"Dark_Blue",
"Dark_Brown",
"Dark_Byzantium",
"Dark_Candy_Apple_Red",
"Dark_Cerulean",
"Dark_Chestnut",
"Dark_Coral",
"Dark_Cyan",
"Dark_Electric_Blue",
"Dark_Goldenrod",
"Dark_Gray",
"Dark_Green",
"Dark_Imperial_Blue",
"Dark_Jungle_Green",
"Dark_Khaki",
"Dark_Lava",
"Dark_Lavender",
"Dark_Magenta",
"Dark_Midnight_Blue",
"Dark_Olive_Green",
"Dark_Orange",
"Dark_Orchid",
"Dark_Pastel_Blue",
"Dark_Pastel_Green",
"Dark_Pastel_Purple",
"Dark_Pastel_Red",
"Dark_Pink",
"Dark_Powder_Blue",
"Dark_Raspberry",
"Dark_Red",
"Dark_Salmon",
"Dark_Scarlet",
"Dark_Sea_Green",
"Dark_Sienna",
"Dark_Slate_Blue",
"Dark_Slate_Gray",
"Dark_Spring_Green",
"Dark_Tan",
"Dark_Tangerine",
"Dark_Taupe",
"Dark_Terra_Cotta",
"Dark_Turquoise",
"Dark_Violet",
"Dark_Yellow",
"Dartmouth_Green",
"DavyS_Grey",
"Debian_Red",
"Deep_Carmine",
"Deep_Carmine_Pink",
"Deep_Carrot_Orange",
"Deep_Cerise",
"Deep_Champagne",
"Deep_Chestnut",
"Deep_Coffee",
"Deep_Fuchsia",
"Deep_Jungle_Green",
"Deep_Lilac",
"Deep_Magenta",
"Deep_Peach",
"Deep_Pink",
"Deep_Ruby",
"Deep_Saffron",
"Deep_Sky_Blue",
"Deep_Tuscan_Red",
"Denim",
"Desert",
"Desert_Sand",
"Dim_Gray",
"Dodger_Blue",
"Dogwood_Rose",
"Dollar_Bill",
"Drab",
"Duke_Blue",
"Earth_Yellow",
"Ebony",
"Ecru",
"Eggplant",
"Eggshell",
"Egyptian_Blue",
"Electric_Blue",
"Electric_Crimson",
"Electric_Cyan",
"Electric_Green",
"Electric_Indigo",
"Electric_Lavender",
"Electric_Lime",
"Electric_Purple",
"Electric_Ultramarine",
"Electric_Violet",
"Electric_Yellow",
"Emerald",
"English_Lavender",
"Eton_Blue",
"Fallow",
"Falu_Red",
"Fandango",
"Fashion_Fuchsia",
"Fawn",
"Feldgrau",
"Fern_Green",
"Ferrari_Red",
"Field_Drab",
"Fire_Engine_Red",
"Firebrick",
"Flame",
"Flamingo_Pink",
"Flavescent",
"Flax",
"Floral_White",
"Fluorescent_Orange",
"Fluorescent_Pink",
"Fluorescent_Yellow",
"Folly",
"Forest_Green_Traditional",
"Forest_Green_Web",
"French_Beige",
"French_Blue",
"French_Lilac",
"French_Lime",
"French_Raspberry",
"French_Rose",
"Fuchsia",
"Fuchsia_Crayola",
"Fuchsia_Pink",
"Fuchsia_Rose",
"Fulvous",
"Fuzzy_Wuzzy",
"Gainsboro",
"Gamboge",
"Ghost_White",
"Ginger",
"Glaucous",
"Glitter",
"Gold_Metallic",
"Gold_Web_Golden",
"Golden_Brown",
"Golden_Poppy",
"Golden_Yellow",
"Goldenrod",
"Granny_Smith_Apple",
"Gray",
"Gray-Asparagus",
"Gray_HtmlCss_Gray",
"Gray_X11_Gray",
"Green_Color_Wheel_X11_Green",
"Green_Crayola",
"Green_HtmlCss_Green",
"Green_Munsell",
"Green_Ncs",
"Green_Pigment",
"Green_Ryb",
"Green-Yellow",
"Grullo",
"Guppie_Green",
"Halayà_úBe",
"Han_Blue",
"Han_Purple",
"Hansa_Yellow",
"Harlequin",
"Harvard_Crimson",
"Harvest_Gold",
"Heart_Gold",
"Heliotrope",
"Hollywood_Cerise",
"Honeydew",
"Honolulu_Blue",
"HookerS_Green",
"Hot_Magenta",
"Hot_Pink",
"Hunter_Green",
"Iceberg",
"Icterine",
"Imperial_Blue",
"Inchworm",
"India_Green",
"Indian_Red",
"Indian_Yellow",
"Indigo",
"Indigo_Dye",
"Indigo_Web",
"International_Klein_Blue",
"International_Orange_Aerospace",
"International_Orange_Engineering",
"International_Orange_Golden_Gate_Bridge",
"Iris",
"Isabelline",
"Islamic_Green",
"Ivory",
"Jade",
"Jasmine",
"Jasper",
"Jazzberry_Jam",
"Jet",
"Jonquil",
"June_Bud",
"Jungle_Green",
"Kelly_Green",
"Kenyan_Copper",
"Khaki_HtmlCss_Khaki",
"Khaki_X11_Light_Khaki",
"Ku_Crimson",
"La_Salle_Green",
"Languid_Lavender",
"Lapis_Lazuli",
"Laser_Lemon",
"Laurel_Green",
"Lava",
"Lavender_Blue",
"Lavender_Blush",
"Lavender_Floral",
"Lavender_Gray",
"Lavender_Indigo",
"Lavender_Magenta",
"Lavender_Mist",
"Lavender_Pink",
"Lavender_Purple",
"Lavender_Rose",
"Lavender_Web",
"Lawn_Green",
"Lemon",
"Lemon_Chiffon",
"Lemon_Lime",
"Licorice",
"Light_Apricot",
"Light_Blue",
"Light_Brown",
"Light_Carmine_Pink",
"Light_Coral",
"Light_Cornflower_Blue",
"Light_Crimson",
"Light_Cyan",
"Light_Fuchsia_Pink",
"Light_Goldenrod_Yellow",
"Light_Gray",
"Light_Green",
"Light_Khaki",
"Light_Pastel_Purple",
"Light_Pink",
"Light_Red_Ochre",
"Light_Salmon",
"Light_Salmon_Pink",
"Light_Sea_Green",
"Light_Sky_Blue",
"Light_Slate_Gray",
"Light_Taupe",
"Light_Thulian_Pink",
"Light_Yellow",
"Lilac",
"Lime_Color_Wheel",
"Lime_Green",
"Lime_Web_X11_Green",
"Limerick",
"Lincoln_Green",
"Linen",
"Lion",
"Little_Boy_Blue",
"Liver",
"Lust",
"Magenta",
"Magenta_Dye",
"Magenta_Process",
"Magic_Mint",
"Magnolia",
"Mahogany",
"Maize",
"Majorelle_Blue",
"Malachite",
"Manatee",
"Mango_Tango",
"Mantis",
"Mardi_Gras",
"Maroon_Crayola",
"Maroon_HtmlCss",
"Maroon_X11",
"Mauve",
"Mauve_Taupe",
"Mauvelous",
"Maya_Blue",
"Meat_Brown",
"Medium_Aquamarine",
"Medium_Blue",
"Medium_Candy_Apple_Red",
"Medium_Carmine",
"Medium_Champagne",
"Medium_Electric_Blue",
"Medium_Jungle_Green",
"Medium_Lavender_Magenta",
"Medium_Orchid",
"Medium_Persian_Blue",
"Medium_Purple",
"Medium_Red-Violet",
"Medium_Ruby",
"Medium_Sea_Green",
"Medium_Slate_Blue",
"Medium_Spring_Bud",
"Medium_Spring_Green",
"Medium_Taupe",
"Medium_Turquoise",
"Medium_Tuscan_Red",
"Medium_Vermilion",
"Medium_Violet-Red",
"Mellow_Apricot",
"Mellow_Yellow",
"Melon",
"Midnight_Blue",
"Midnight_Green_Eagle_Green",
"Mikado_Yellow",
"Mint",
"Mint_Cream",
"Mint_Green",
"Misty_Rose",
"Moccasin",
"Mode_Beige",
"Moonstone_Blue",
"Mordant_Red_19",
"Moss_Green",
"Mountain_Meadow",
"Mountbatten_Pink",
"Msu_Green",
"Mulberry",
"Mustard",
"Myrtle",
"Nadeshiko_Pink",
"Napier_Green",
"Naples_Yellow",
"Navajo_White",
"Navy_Blue",
"Neon_Carrot",
"Neon_Fuchsia",
"Neon_Green",
"New_York_Pink",
"Non-Photo_Blue",
"North_Texas_Green",
"Ocean_Boat_Blue",
"Ochre",
"Office_Green",
"Old_Gold",
"Old_Lace",
"Old_Lavender",
"Old_Mauve",
"Old_Rose",
"Olive",
"Olive_Drab_#7",
"Olive_Drab_Web_Olive_Drab_#3",
"Olivine",
"Onyx",
"Opera_Mauve",
"Orange_Color_Wheel",
"Orange_Peel",
"Orange-Red",
"Orange_Ryb",
"Orange_Web_Color",
"Orchid",
"Otter_Brown",
"Ou_Crimson_Red",
"Outer_Space",
"Outrageous_Orange",
"Oxford_Blue",
"Pakistan_Green",
"Palatinate_Blue",
"Palatinate_Purple",
"Pale_Aqua",
"Pale_Blue",
"Pale_Brown",
"Pale_Carmine",
"Pale_Cerulean",
"Pale_Chestnut",
"Pale_Copper",
"Pale_Cornflower_Blue",
"Pale_Gold",
"Pale_Goldenrod",
"Pale_Green",
"Pale_Lavender",
"Pale_Magenta",
"Pale_Pink",
"Pale_Plum",
"Pale_Red-Violet",
"Pale_Robin_Egg_Blue",
"Pale_Silver",
"Pale_Spring_Bud",
"Pale_Taupe",
"Pale_Violet-Red",
"Pansy_Purple",
"Papaya_Whip",
"Paris_Green",
"Pastel_Blue",
"Pastel_Brown",
"Pastel_Gray",
"Pastel_Green",
"Pastel_Magenta",
"Pastel_Orange",
"Pastel_Pink",
"Pastel_Purple",
"Pastel_Red",
"Pastel_Violet",
"Pastel_Yellow",
"Patriarch",
"PayneS_Grey",
"Peach",
"Peach_Crayola",
"Peach-Orange",
"Peach_Puff",
"Peach-Yellow",
"Pear",
"Pearl",
"Pearl_Aqua",
"Pearly_Purple",
"Peridot",
"Periwinkle",
"Persian_Blue",
"Persian_Green",
"Persian_Indigo",
"Persian_Orange",
"Persian_Pink",
"Persian_Plum",
"Persian_Red",
"Persian_Rose",
"Persimmon",
"Peru",
"Phlox",
"Phthalo_Blue",
"Phthalo_Green",
"Piggy_Pink",
"Pine_Green",
"Pink",
"Pink_Lace",
"Pink-Orange",
"Pink_Pearl",
"Pink_Sherbet",
"Pistachio",
"Platinum",
"Plum_Traditional",
"Plum_Web",
"Portland_Orange",
"Powder_Blue_Web",
"Princeton_Orange",
"Prune",
"Prussian_Blue",
"Psychedelic_Purple",
"Puce",
"Pumpkin",
"Purple_Heart",
"Purple_HtmlCss",
"Purple_Mountain_Majesty",
"Purple_Munsell",
"Purple_Pizzazz",
"Purple_Taupe",
"Purple_X11",
"Quartz",
"Rackley",
"Radical_Red",
"Rajah",
"Raspberry",
"Raspberry_Glace",
"Raspberry_Pink",
"Raspberry_Rose",
"Raw_Umber",
"Razzle_Dazzle_Rose",
"Razzmatazz",
"Red",
"Red-Brown",
"Red_Devil",
"Red_Munsell",
"Red_Ncs",
"Red-Orange",
"Red_Pigment",
"Red_Ryb",
"Red-Violet",
"Redwood",
"Regalia",
"Resolution_Blue",
"Rich_Black",
"Rich_Brilliant_Lavender",
"Rich_Carmine",
"Rich_Electric_Blue",
"Rich_Lavender",
"Rich_Lilac",
"Rich_Maroon",
"Rifle_Green",
"Robin_Egg_Blue",
"Rose",
"Rose_Bonbon",
"Rose_Ebony",
"Rose_Gold",
"Rose_Madder",
"Rose_Pink",
"Rose_Quartz",
"Rose_Taupe",
"Rose_Vale",
"Rosewood",
"Rosso_Corsa",
"Rosy_Brown",
"Royal_Azure",
"Royal_Blue_Traditional",
"Royal_Blue_Web",
"Royal_Fuchsia",
"Royal_Purple",
"Royal_Yellow",
"Rubine_Red",
"Ruby",
"Ruby_Red",
"Ruddy",
"Ruddy_Brown",
"Ruddy_Pink",
"Rufous",
"Russet",
"Rust",
"Rusty_Red",
"Sacramento_State_Green",
"Saddle_Brown",
"Safety_Orange_Blaze_Orange",
"Saffron",
"Salmon",
"Salmon_Pink",
"Sand",
"Sand_Dune",
"Sandstorm",
"Sandy_Brown",
"Sandy_Taupe",
"Sangria",
"Sap_Green",
"Sapphire",
"Sapphire_Blue",
"Satin_Sheen_Gold",
"Scarlet",
"Scarlet_Crayola",
"School_Bus_Yellow",
"Screamin_Green",
"Sea_Blue",
"Sea_Green",
"Seal_Brown",
"Seashell",
"Selective_Yellow",
"Sepia",
"Shadow",
"Shamrock_Green",
"Shocking_Pink",
"Shocking_Pink_Crayola",
"Sienna",
"Silver",
"Sinopia",
"Skobeloff",
"Sky_Blue",
"Sky_Magenta",
"Slate_Blue",
"Slate_Gray",
"Smalt_Dark_Powder_Blue",
"Smokey_Topaz",
"Smoky_Black",
"Snow",
"Spiro_Disco_Ball",
"Spring_Bud",
"Spring_Green",
"St._PatrickS_Blue",
"Steel_Blue",
"Stil_De_Grain_Yellow",
"Stizza",
"Stormcloud",
"Straw",
"Sunglow",
"Sunset",
"Tan",
"Tangelo",
"Tangerine",
"Tangerine_Yellow",
"Tango_Pink",
"Taupe",
"Taupe_Gray",
"Tea_Green",
"Tea_Rose_Orange",
"Tea_Rose_Rose",
"Teal",
"Teal_Blue",
"Teal_Green",
"Telemagenta",
"Tenné_Tawny",
"Terra_Cotta",
"Thistle",
"Thulian_Pink",
"Tickle_Me_Pink",
"Tiffany_Blue",
"TigerS_Eye",
"Timberwolf",
"Titanium_Yellow",
"Tomato",
"Toolbox",
"Topaz",
"Tractor_Red",
"Trolley_Grey",
"Tropical_Rain_Forest",
"True_Blue",
"Tufts_Blue",
"Tumbleweed",
"Turkish_Rose",
"Turquoise",
"Turquoise_Blue",
"Turquoise_Green",
"Tuscan_Red",
"Twilight_Lavender",
"Tyrian_Purple",
"Ua_Blue",
"Ua_Red",
"Ube",
"Ucla_Blue",
"Ucla_Gold",
"Ufo_Green",
"Ultra_Pink",
"Ultramarine",
"Ultramarine_Blue",
"Umber",
"Unbleached_Silk",
"United_Nations_Blue",
"University_Of_California_Gold",
"Unmellow_Yellow",
"Up_Forest_Green",
"Up_Maroon",
"Upsdell_Red",
"Urobilin",
"Usafa_Blue",
"Usc_Cardinal",
"Usc_Gold",
"Utah_Crimson",
"Vanilla",
"Vegas_Gold",
"Venetian_Red",
"Verdigris",
"Vermilion_Cinnabar",
"Vermilion_Plochere",
"Veronica",
"Violet",
"Violet-Blue",
"Violet_Color_Wheel",
"Violet_Ryb",
"Violet_Web",
"Viridian",
"Vivid_Auburn",
"Vivid_Burgundy",
"Vivid_Cerise",
"Vivid_Tangerine",
"Vivid_Violet",
"Warm_Black",
"Waterspout",
"Wenge",
"Wheat",
"White",
"White_Smoke",
"Wild_Blue_Yonder",
"Wild_Strawberry",
"Wild_Watermelon",
"Wine",
"Wine_Dregs",
"Wisteria",
"Wood_Brown",
"Xanadu",
"Yale_Blue",
"Yellow",
"Yellow-Green",
"Yellow_Munsell",
"Yellow_Ncs",
"Yellow_Orange",
"Yellow_Process",
"Yellow_Ryb",
"Zaffre",
"Zinnwaldite_Brown",
